mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,param_clf__solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
41.666659355163574,0.0,0.031642913818359375,0.0,relu,0.001,"(200,)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8948797517455391,0.8948797517455391,0.0,9
32.143293619155884,0.0,0.023865699768066406,0.0,relu,0.001,"(100, 100)",constant,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8960434445306439,0.8960434445306439,0.0,5
36.40851640701294,0.0,0.03422379493713379,0.0,relu,0.001,"(100, 100)",constant,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8316524437548487,0.8316524437548487,0.0,87
16.1475613117218,0.0,0.024631023406982422,0.0,relu,0.001,"(100, 100)",constant,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8723816912335144,0.8723816912335144,0.0,49
36.65872550010681,0.0,0.04382157325744629,0.0,relu,0.001,"(100, 100)",constant,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8875096974398758,0.8875096974398758,0.0,23
32.39286708831787,0.0,0.024549484252929688,0.0,relu,0.001,"(100, 100)",adaptive,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8960434445306439,0.8960434445306439,0.0,5
36.98318123817444,0.0,0.04192709922790527,0.0,relu,0.001,"(100, 100)",adaptive,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8316524437548487,0.8316524437548487,0.0,87
16.00538730621338,0.0,0.024019718170166016,0.0,relu,0.001,"(100, 100)",adaptive,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8723816912335144,0.8723816912335144,0.0,49
37.00302338600159,0.0,0.04386281967163086,0.0,relu,0.001,"(100, 100)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8875096974398758,0.8875096974398758,0.0,23
27.61819887161255,0.0,0.04325389862060547,0.0,relu,0.001,"(200, 100)",constant,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8890612878200155,0.8890612878200155,0.0,11
68.05150127410889,0.0,0.07582616806030273,0.0,relu,0.001,"(200, 100)",constant,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.843289371605896,0.843289371605896,0.0,81
23.501067399978638,0.0,0.04275679588317871,0.0,relu,0.001,"(200, 100)",constant,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8886733902249806,0.8886733902249806,0.0,17
